RegistrationNumber,ReferenceCapacity,MWOT,RegisteredDate,ARCExpiredDate,RegistrationStatus
AE-16746318,443,126,2020-09-01,2021-10-30,Active
ES-29797546,283,304,2017-04-30,2018-04-01,Active
OG-02336954,239,389,2007-07-13,2008-07-09,Active
VS-57022360,130,299,2002-03-02,2003-03-25,Active
JZ-98664992,354,207,2014-02-11,2015-04-12,Active
VQ-45020546,398,394,2001-09-07,2002-08-06,Active
AO-61988365,419,193,2023-02-20,2023-12-25,Active
LI-33886930,132,198,2021-09-29,2022-09-29,Active
PA-23279025,174,170,2001-05-10,2002-04-26,Active
ML-59676552,277,376,2008-06-08,2009-04-25,Active
GH-24014315,214,361,2000-09-17,2001-08-19,Active
LT-54559457,487,398,2010-05-30,2011-07-29,Active
FY-19105019,253,377,2001-05-30,2002-06-06,Active
JX-88889407,228,257,2020-07-19,2021-07-24,Active
VE-60631994,199,279,2024-06-20,2025-05-18,Active
LS-31594247,164,287,2013-06-27,2014-08-24,Active
ID-89125083,494,129,1999-06-07,2000-05-03,Active
HU-42577561,334,287,2017-09-28,2018-08-01,Active
AW-47065714,229,327,2017-11-28,2018-11-05,Active
NV-18860223,146,106,2004-12-12,2006-02-01,Active
MZ-32875292,480,253,2019-05-26,2020-06-23,Active
UW-35945998,276,263,2015-04-14,2016-04-03,Active
SM-32581219,482,261,2008-03-14,2009-02-21,Active
XK-56273225,401,324,2005-06-25,2006-05-28,Active
VH-35323494,141,390,2017-09-22,2018-07-26,Flight control systems malfunction
PI-54470478,377,158,2002-04-26,2003-06-11,Active
UW-01772099,470,283,1998-06-07,1999-06-11,Active
GK-55023621,488,295,2002-01-26,2003-02-18,Active
XS-01562779,411,387,2010-01-29,2011-02-11,Active
GE-57965477,469,201,2013-07-01,2014-07-05,Active
RO-27186813,181,364,2021-04-14,2022-04-12,Active
IK-94445337,391,324,2013-07-28,2014-07-30,Active
ET-27629441,433,375,1998-05-20,1999-06-15,Aircraft owned by unauthorized entity
MW-35461497,125,354,2012-10-29,2013-12-17,Active
HL-71637177,279,397,1996-07-27,1997-07-20,Active
RM-11856129,425,236,1995-12-12,1996-10-20,Active
SM-06626165,301,387,2013-10-09,2014-10-21,Active
QQ-83469323,272,136,2011-03-25,2012-02-20,Active
EM-97800634,207,112,2006-08-20,2007-10-14,Active
CD-67955728,347,126,2005-03-10,2006-03-18,Active
SE-59653440,146,319,2011-11-15,2012-09-21,Active
TK-12242560,261,385,2006-06-11,2007-06-14,Active
SK-67110713,393,363,1996-03-10,1997-02-25,Active
XY-21841294,178,220,2009-11-30,2010-11-16,Active
AL-13322510,294,380,2008-01-27,2009-03-12,Active
FE-99016578,115,295,2005-01-14,2006-02-20,Active
YK-80183197,482,382,2007-06-11,2008-05-16,Active
EU-08887246,328,359,1997-03-17,1998-05-15,Corrosion on airframe or wings
VO-35770540,327,240,2010-03-22,2011-04-17,Active
AO-31597628,239,106,2014-07-24,2015-08-30,Active
ZV-39179072,362,176,2016-08-30,2017-08-30,Use for illegal activities (e.g. smuggling)
FS-92225134,381,109,1996-05-31,1997-04-01,Active
DL-11691929,331,226,1998-04-02,1999-05-30,Active
KY-67553233,271,294,2004-12-20,2006-02-05,Active
GS-67455793,426,174,2008-10-23,2009-08-26,Active
FF-41166745,212,109,2009-06-28,2010-04-30,Active
DG-72434057,171,212,2001-11-19,2002-10-25,Active
KW-05913024,211,192,2012-03-27,2013-02-12,Active
WV-56811265,418,274,2022-07-24,2023-06-09,Active
KZ-13057406,104,229,2022-07-15,2023-08-14,Active
WG-88287743,231,181,2010-07-10,2011-06-02,Active
PT-37660041,421,185,2017-08-04,2018-09-22,Active
CZ-96951886,141,308,2004-06-19,2005-05-11,Active
KS-94571145,496,207,1999-07-27,2000-07-12,Active
HB-80659345,279,290,2003-06-27,2004-08-04,Active
QE-13273059,137,113,2023-09-21,2024-10-10,Active
NA-31960604,477,113,2019-03-28,2020-03-15,Active
XQ-38718059,156,311,2010-02-09,2011-01-15,Corrosion on airframe or wings
OZ-51892320,217,259,2019-10-15,2020-08-20,Active
YM-96507475,103,391,1998-09-15,1999-10-19,Active
PT-57769015,473,189,2023-06-05,2024-05-27,Active
LP-17164946,224,233,2011-12-25,2013-01-05,Active
LI-86295286,275,400,2013-08-17,2014-06-28,Active
MR-30492304,284,219,2019-10-23,2020-12-01,Active
MU-50964160,151,263,2011-03-06,2012-04-21,Active
VD-23113495,350,232,2019-03-12,2020-02-27,Active
MZ-81217296,447,229,2017-01-20,2018-01-31,Active
EN-94690124,270,255,2018-06-30,2019-05-02,Active
TV-26076946,239,258,2017-09-04,2018-11-02,Active
TM-03882283,492,337,2017-01-02,2017-11-24,Active
JM-96667084,354,116,2001-01-24,2002-01-03,Active
XG-07442529,377,181,2000-05-18,2001-06-02,Active
WX-94013522,325,341,2003-11-04,2004-09-24,Active
XV-98190881,245,391,2020-01-19,2020-11-21,Installation of non-compliant equipment
DZ-74829415,166,297,2017-09-25,2018-11-22,Active
DQ-48575674,260,230,2017-12-10,2018-12-19,Active
HL-30179932,386,160,2004-11-25,2005-10-27,Active
IO-09311466,265,255,2004-04-30,2005-04-20,Active
CD-20823307,127,192,2018-01-09,2018-12-19,Active
KK-52538137,415,134,2003-12-15,2004-12-25,Active
JK-27088134,270,322,2015-06-06,2016-05-30,Active
KT-08738438,102,207,1999-11-02,2000-10-28,Active
UJ-01543471,451,229,1997-01-18,1997-11-30,Active
QC-13106734,450,155,1999-06-25,2000-06-29,Active
EY-78040717,137,204,2005-06-10,2006-05-31,Active
CG-41690997,273,258,2023-09-01,2024-07-07,Active
OW-18643442,386,191,2012-09-30,2013-10-27,Active
NI-05311851,410,316,2021-03-02,2022-03-27,Active
LK-99416163,241,149,2006-03-28,2007-04-23,Active
SG-44628324,153,250,2022-10-02,2023-10-18,Active
UL-67688767,353,288,2023-07-06,2024-07-13,Active
SC-43750733,125,301,2020-01-13,2020-12-19,Active
WD-90855742,254,110,2020-10-06,2021-09-11,Active
HP-95577072,150,378,2025-03-15,2026-03-02,Active
PW-53997264,449,234,2006-01-26,2006-12-03,Active
LF-63911545,457,321,2006-07-15,2007-08-03,Active
CK-20488916,472,286,2004-09-06,2005-10-06,Active
PC-99562596,305,210,2010-06-28,2011-08-20,Active
VB-47484327,274,213,2003-12-28,2004-12-19,Active
ZP-80169685,185,325,2025-04-20,2026-03-06,Active
IJ-54326382,208,209,2022-09-15,2023-11-05,Active
UW-21135079,102,147,2000-02-10,2001-03-19,Active
SK-49326367,354,106,2018-12-16,2019-12-30,Active
IP-72780458,457,178,2008-09-18,2009-09-08,Active
VB-71401917,484,221,2022-07-29,2023-09-16,Active
IV-09680659,179,390,2022-03-19,2023-04-06,Active
QG-61200121,296,177,2000-12-13,2001-11-03,Active
YZ-76744328,260,389,2011-06-28,2012-05-15,Active
MB-99445641,251,337,2007-12-01,2008-10-05,Active
JL-55058349,477,373,2020-02-12,2021-03-28,Active
DA-25716508,440,266,2010-12-13,2011-11-09,Active
CH-09823256,363,341,2005-10-18,2006-08-26,Active
NP-62092127,325,343,1997-07-22,1998-07-30,Active
JN-47748073,203,300,2012-06-15,2013-08-04,Active
MU-98260529,269,316,2013-03-10,2014-04-16,Corrosion on airframe or wings
DX-15565665,120,283,2020-01-20,2021-02-19,Active
JD-42579137,134,334,2001-01-03,2001-12-12,Active
LU-39641834,427,327,2022-06-28,2023-06-11,Active
FO-72470805,457,397,2013-08-28,2014-08-07,Active
DT-92969024,389,378,1999-08-29,2000-07-31,Active
IK-10177635,102,310,2002-05-07,2003-06-25,Active
ZL-40900331,133,129,2020-06-12,2021-06-21,Active
GV-87157799,208,145,2015-07-21,2016-07-21,Active
GB-50456570,496,198,2013-02-21,2014-02-24,Active
DZ-48851264,139,176,2007-12-09,2008-11-20,Active
YA-94103972,387,319,2020-08-22,2021-07-08,Active
UT-53303944,335,235,2000-03-08,2001-04-16,Active
FD-12864134,160,298,2016-11-18,2017-10-29,Active
GC-87653586,386,203,1998-03-28,1999-04-01,Active
NH-01425780,258,238,2012-12-12,2014-01-10,Active
CR-93624662,411,211,2010-12-08,2012-02-01,Active
HA-53419773,452,387,1996-03-11,1997-03-24,Active
BL-87793992,487,391,2015-06-20,2016-07-26,Engine or sensors not working
MB-91843089,252,131,2014-04-11,2015-05-17,Active
SI-95511178,334,113,2022-12-14,2023-11-01,Active
QE-37330894,350,327,1999-10-31,2000-11-26,Active
YQ-58651780,450,193,2007-03-16,2008-03-18,Active
OT-72531469,335,237,2010-02-04,2011-01-10,Active
UR-33462762,117,153,2023-12-02,2024-12-26,Active
KD-61806723,332,187,2013-11-30,2014-10-01,Active
JY-62250617,492,182,2015-10-04,2016-11-18,Active
FM-35213666,386,351,2010-08-02,2011-09-22,Improperly repaired after an incident
WL-09642787,422,155,2024-05-30,2025-06-13,Active
TS-55803066,424,342,2015-03-16,2016-05-03,Active
JN-59142331,107,102,2013-06-16,2014-04-25,Active
JA-94576249,205,375,2019-09-20,2020-10-22,Active
QL-92264239,373,282,1998-09-27,1999-09-28,Active
KW-30275583,180,189,1995-10-09,1996-08-11,Active
GT-20851547,484,308,1999-10-23,2000-09-17,Active
XY-46737877,272,202,1995-06-01,1996-05-14,Active
RG-38119582,240,351,2016-01-10,2016-12-08,Active
HF-62748166,433,259,2000-12-28,2002-02-20,Active
EJ-52445790,353,177,2011-03-12,2012-04-08,Corrosion on airframe or wings
PU-92046683,101,351,2020-07-18,2021-06-12,Active
LL-17095693,425,378,2001-12-31,2003-02-08,Active
VN-20793702,276,209,2023-08-21,2024-08-27,Active
EN-07197933,310,132,2022-01-10,2023-01-08,Active
QH-32741363,418,128,1999-04-05,2000-05-29,Operation in restricted airspace
OQ-94669922,173,191,1998-09-26,1999-09-11,Active
VZ-41979240,424,396,2002-09-07,2003-07-22,Active
DS-02506453,130,295,1999-01-28,2000-03-15,Active
BF-31138421,234,286,2013-11-02,2014-09-11,Use for illegal activities (e.g. smuggling)
NT-06967185,378,103,2002-03-22,2003-01-25,Active
QB-02759922,437,361,2018-05-24,2019-05-23,Active
CD-02783435,216,275,2019-11-14,2020-10-01,Active
UQ-48486739,242,136,2007-05-20,2008-04-19,Active
CU-90463115,470,211,2017-12-18,2019-02-03,Installation of non-compliant equipment
TR-20792193,373,393,2017-11-22,2018-12-30,Active
AC-44481491,273,106,2000-01-14,2000-12-31,Active
YN-45653545,166,218,2025-01-18,2026-03-19,Active
TG-64436820,425,361,2007-12-23,2009-01-28,Active
XF-15952982,368,328,2018-05-20,2019-05-24,Active
LZ-80732776,422,369,2009-11-17,2010-12-06,Active
MC-28305433,347,243,2001-10-17,2002-09-02,Active
BE-27474322,491,370,2007-12-12,2008-10-29,Active
OY-16173818,170,162,2011-12-24,2013-01-12,Active
AZ-49666620,485,180,1999-04-06,2000-04-08,Active
BR-04561994,190,365,2025-02-25,2026-04-04,Active
ER-19559822,350,137,1997-04-22,1998-04-02,Active
HW-26786977,150,151,1999-04-19,2000-04-17,Active
LE-48603487,401,121,2024-05-27,2025-06-27,Active
RX-69791192,139,399,2021-01-27,2021-12-26,Active
RG-03694606,450,178,2009-01-17,2010-01-17,Active
YC-22844721,290,399,2022-03-17,2023-03-23,Active
EF-08542528,427,300,2007-05-19,2008-06-30,Active
CV-89051267,207,169,2018-03-11,2019-02-18,Active
PT-38344951,126,118,2017-04-20,2018-06-17,Active
BJ-75779470,317,152,2015-11-07,2016-09-27,Active
VU-56350539,489,262,2014-03-27,2015-04-20,Active
SF-47978338,480,355,2015-12-25,2016-10-25,Active
WZ-93281246,158,292,2005-03-22,2006-05-18,Active
LF-09964108,182,124,2023-10-04,2024-10-14,Active
ZI-13665785,466,115,2017-07-21,2018-07-30,Active
RX-06950824,308,301,2010-06-25,2011-07-16,Active
OD-29405079,139,204,2025-04-18,2026-05-02,Active
EQ-13686322,375,224,2012-10-06,2013-10-21,Active
PY-70604922,312,163,2006-08-19,2007-08-11,Active
VG-54037926,230,363,2013-05-06,2014-05-03,Active
SC-15687889,211,299,2014-11-26,2015-10-13,Active
VA-54986325,190,348,2003-12-04,2004-12-28,Active
IX-52177971,431,346,1996-02-13,1997-01-25,Active
SJ-59077107,236,394,2019-07-29,2020-08-19,Active
ND-14256974,357,125,2020-10-20,2021-12-06,Active
XB-10919780,420,274,1999-04-07,2000-04-07,Active
MC-72728753,379,112,2011-06-19,2012-06-24,Active
GS-03200105,372,224,2000-09-08,2001-09-21,Flight control systems malfunction
QZ-50397888,225,195,1997-10-09,1998-10-19,Active
VN-86611598,356,361,2010-09-27,2011-08-16,Active
SG-38016339,110,218,2002-12-21,2004-01-23,Active
VR-49086468,417,380,1996-09-08,1997-08-12,Active
TM-45409866,119,379,2022-05-11,2023-04-20,Active
BL-01275294,290,290,2011-06-20,2012-07-04,Active
MB-41082956,380,161,2003-04-09,2004-04-06,Active
EZ-75809704,351,296,1997-04-24,1998-04-28,Active
QS-04739319,427,360,2001-06-28,2002-07-22,Active
LJ-46535249,258,278,2002-10-18,2003-11-02,Active
SD-46052519,242,382,2019-04-08,2020-02-08,Active
JM-04569284,472,260,2022-08-02,2023-07-20,Active
XV-93490338,260,138,2018-03-03,2019-04-24,Active
MW-52968534,240,385,2018-02-23,2019-02-02,Active
LB-45404657,240,321,2012-04-17,2013-06-01,Active
IH-56072674,218,118,2019-06-05,2020-06-27,Active
JT-96948503,157,309,1998-08-16,1999-09-18,Active
CQ-52053108,407,185,2009-11-20,2010-10-14,Active
LC-44157716,247,332,2020-04-22,2021-05-30,Active
BB-59803687,485,327,2015-04-17,2016-04-11,Active
RK-06635304,364,197,1996-11-04,1997-12-08,Active
FL-56251080,383,262,2023-04-24,2024-05-15,Active
MM-48418883,259,353,1997-03-23,1998-03-03,Active
WC-25206087,387,204,2024-03-10,2025-04-02,Active
HR-83352297,174,136,2000-11-18,2001-11-01,Active
PQ-31048560,409,113,1999-03-18,2000-03-08,Active
ER-61952614,426,344,2012-10-17,2013-10-21,Active
XR-14635797,491,195,2008-07-14,2009-06-26,Active
JG-41744079,344,377,2019-02-12,2020-03-02,Active
XM-57468341,386,338,2013-04-30,2014-06-17,Active
QQ-68785810,453,190,2019-07-18,2020-05-20,Active
HH-18962027,456,107,2013-06-10,2014-06-25,Active
IY-21969934,118,332,2018-12-25,2019-12-04,Active
LM-34753983,403,134,2015-02-06,2016-01-24,Active
GS-31703057,402,372,1997-05-06,1998-06-28,Active
CL-72359355,304,135,2005-05-21,2006-07-17,Worn-out tires or brakes
CA-57209792,403,300,2025-04-06,2026-04-12,Active
XQ-84185692,320,335,1999-06-04,2000-06-16,Active
EK-40792044,458,245,1996-08-31,1997-07-21,Active
MS-72030483,271,168,2008-10-26,2009-10-28,Active
SS-70709256,238,261,2025-05-03,2026-04-06,Active
UV-22341022,129,125,2006-07-09,2007-07-13,Active
XQ-39234639,192,185,2016-09-18,2017-08-10,Missing maintenance logs
AY-96892325,486,249,2000-02-16,2001-01-20,Active
TC-47451469,258,234,2000-04-20,2001-04-10,Active
NE-96016328,317,192,2015-12-09,2017-01-29,Active
LS-86946957,390,286,2024-09-04,2025-09-05,Active
FC-33690103,470,123,2004-07-01,2005-06-25,Active
LC-04044503,345,161,2010-07-05,2011-07-01,Active
RW-52003400,437,176,1995-06-30,1996-05-30,Active
JC-54049947,151,137,1998-03-01,1999-02-22,Active
LC-67897101,104,366,2009-11-13,2010-10-16,Active
KS-93144999,292,336,2020-07-22,2021-08-02,Active
MB-37519815,175,357,2024-12-27,2026-01-01,Active
FO-38133108,175,176,2016-12-09,2018-01-03,Active
MA-35549887,143,279,2002-03-28,2003-04-21,Active
DP-13205466,341,341,2025-03-17,2026-04-09,Active
AV-06120777,388,188,1999-12-19,2000-12-11,Active
IU-82405993,460,107,2000-06-07,2001-05-09,Active
AZ-01308000,274,146,1999-06-30,2000-07-13,Active
GS-31265381,494,143,1996-01-04,1996-11-16,Active
FU-50166302,285,357,2013-12-12,2014-10-21,Active
NS-32584921,232,212,2011-04-25,2012-06-09,Expired airworthiness certificate
LD-56832645,197,208,2012-06-09,2013-06-02,Active
KW-70083271,202,202,2008-12-19,2010-01-24,Active
FH-53942208,469,366,2022-08-04,2023-10-01,Active
PW-02683868,353,382,2000-12-23,2001-10-29,Active
ZT-47254611,224,103,2012-04-11,2013-05-01,Active
JY-88014164,399,297,2000-02-02,2001-01-15,Violation of weight or fuel regulations
EM-99431492,478,251,2018-01-19,2019-03-03,Active
KQ-92599639,296,382,2008-09-07,2009-10-24,Active
TH-49054297,411,291,1996-11-13,1997-10-23,Active
LB-42269157,395,210,1999-12-27,2000-12-29,Active
VY-31339815,137,233,2019-08-24,2020-08-03,Active
DI-39758876,234,356,2019-08-30,2020-08-22,Active
CR-09801327,373,104,1997-07-11,1998-08-22,Active
OG-00537816,268,114,2002-11-13,2003-10-10,Active
UI-78689644,468,301,1998-12-02,1999-10-06,Active
FU-25780496,296,285,2016-08-30,2017-10-01,Active
AU-38137962,356,387,2014-11-12,2015-11-07,Active
AB-66197386,193,321,2014-12-04,2015-11-10,Active
VE-81465405,275,129,2013-11-15,2014-09-23,Corrosion on airframe or wings
YI-08688899,455,259,2005-06-21,2006-07-17,Active
WB-32952872,330,211,2021-09-10,2022-07-21,Active
WO-84496921,148,233,2017-11-23,2018-11-30,Active
QH-00282808,386,210,2018-01-07,2019-01-27,Active
JS-35431498,447,399,2014-03-06,2015-03-13,Active
KI-96421045,116,357,2024-07-17,2025-06-14,Active
NB-06624113,185,326,2011-11-10,2012-11-12,Active
OX-06752125,169,207,1997-08-31,1998-08-28,Active
NA-08926477,230,332,2013-11-29,2014-10-23,Active
BZ-62829796,171,231,2006-02-27,2007-02-24,Active
WV-36598649,428,284,2020-03-12,2021-01-15,Active
GD-80672685,379,388,1996-12-08,1997-10-10,Active
OR-76945945,258,171,1997-09-13,1998-09-03,Active
EB-75997946,220,228,2019-05-10,2020-07-06,Active
DB-32670734,176,286,1997-03-01,1998-03-06,Active
NL-00123515,124,131,2009-07-25,2010-09-14,Active
KH-26201196,373,277,2008-02-12,2009-02-08,Active
LX-22299796,326,178,2011-08-02,2012-09-18,Active
VL-78977661,191,322,2012-08-23,2013-10-14,Active
WC-08937978,234,326,1996-01-12,1997-02-18,Active
NV-31345823,144,260,2000-07-02,2001-07-09,Active
QD-25414082,109,196,1999-10-26,2000-12-16,Active
RB-22799894,114,124,1995-06-07,1996-07-25,Active
QE-82021633,200,104,2004-07-29,2005-06-30,Active
AS-25426662,193,125,2007-03-24,2008-04-14,Active
VC-31078441,415,106,2010-10-06,2011-08-24,Worn-out tires or brakes
OC-39150859,466,133,2007-08-20,2008-08-17,Active
QW-50013757,303,374,2002-07-02,2003-05-16,Active
ZJ-45854549,390,128,2025-02-03,2025-12-25,Active
KX-86101221,475,215,2021-02-27,2022-02-07,Active
PL-72270428,147,297,2008-08-30,2009-09-15,Active
JK-84766487,275,260,1998-03-31,1999-03-01,Active
OW-53424935,298,164,2014-06-19,2015-05-12,Active
IK-49688165,214,300,2013-05-23,2014-04-30,Active
HI-45006450,323,237,2005-04-23,2006-06-08,Active
VC-15989040,432,219,2019-07-01,2020-06-27,Active
HG-64191300,263,380,2014-08-25,2015-07-14,Active
ST-68859479,218,136,2005-11-08,2006-09-11,Active
SN-82552507,298,257,2018-10-09,2019-09-11,Active
PL-79094305,341,346,2000-07-18,2001-08-05,Active
NS-37041437,103,275,2011-05-06,2012-06-23,Active
RQ-77876695,156,262,2013-08-07,2014-08-05,Active
SG-77885659,351,245,2003-03-05,2004-05-01,Active
BM-78712634,330,364,2012-07-28,2013-08-12,Active
DO-14394145,112,280,2023-04-23,2024-02-23,Active
DV-30747256,101,248,1996-12-07,1997-11-25,Active
XR-21106542,441,382,2012-03-30,2013-03-05,Active
IA-29719401,436,302,1995-07-07,1996-08-28,Active
EF-77515148,355,356,2010-01-07,2011-02-17,Active
XQ-69457626,477,291,2014-09-11,2015-10-07,Active
TT-90516459,333,215,2003-08-15,2004-09-02,Active
LW-85531901,493,172,1995-08-29,1996-09-07,Active
XV-02368476,197,139,2000-11-27,2001-12-21,Active
ZR-05336756,184,166,2021-05-17,2022-07-05,Active
GS-13601775,458,336,2007-04-11,2008-04-24,Active
JB-86661328,193,129,2007-11-03,2008-10-09,Active
HW-02170580,329,233,2008-02-05,2009-01-28,Active
UU-52821208,217,144,2016-07-05,2017-05-11,Maintenance not done as scheduled
DT-30409431,415,112,2001-03-16,2002-04-23,Active
TW-19226943,107,324,2002-01-04,2002-12-08,Active
ON-35867793,361,222,2024-09-13,2025-11-12,Active
GI-32603620,303,256,1997-10-21,1998-12-16,Active
JO-59424713,420,190,2015-08-03,2016-06-11,Active
WD-45831505,326,220,2007-07-30,2008-08-27,Active
II-31110659,263,342,2000-06-22,2001-07-24,Active
HA-93952997,196,141,2016-03-24,2017-01-27,Active
VV-69844374,491,343,2008-10-07,2009-09-06,Active
JY-99101464,287,147,2015-01-05,2016-02-18,Active
SM-31339800,309,188,2017-02-17,2018-03-12,Active
US-84870286,209,148,2000-09-07,2001-09-06,Active
LZ-09723810,417,350,2019-05-01,2020-05-13,Active
FJ-09090817,146,132,2005-08-31,2006-07-19,Active
NS-42968692,496,152,1998-06-14,1999-08-10,Active
VG-33555110,462,310,2011-02-06,2012-04-01,Active
IS-46142113,143,182,2013-02-13,2014-03-04,Active
KJ-40900874,453,373,2022-10-27,2023-12-02,Active
AK-57832522,493,272,2001-10-30,2002-11-20,Active
MZ-63185064,360,125,1998-06-08,1999-04-21,Active
SL-11890392,495,188,2021-09-25,2022-10-03,Active
MS-00695404,184,127,2018-03-26,2019-04-15,Active
XL-19537361,431,165,1996-07-17,1997-05-19,Operation in restricted airspace
UK-00456877,147,271,2011-07-26,2012-06-26,Active
VM-12236734,371,120,1998-04-07,1999-05-17,Active
MP-45923834,410,224,2008-07-06,2009-08-14,Active
PJ-75587149,372,197,1997-11-09,1998-09-29,Active
YR-08542899,380,150,2006-10-15,2007-08-26,Active
CF-21922286,463,215,1997-03-27,1998-03-27,Active
ZQ-01472511,328,294,2004-06-06,2005-07-15,Active
GQ-91153507,289,284,2001-12-01,2003-01-24,Active
MQ-02699818,283,114,2013-05-12,2014-03-20,Active
BZ-19342083,212,339,2004-05-20,2005-07-18,Active
YT-31378706,365,382,2008-04-17,2009-04-08,Active
IO-02578189,362,166,2010-11-06,2011-10-14,Active
GW-69294678,208,178,2020-02-04,2021-01-22,Maintenance not done as scheduled
JB-83509961,118,350,2024-12-04,2025-11-30,Active
ZE-06280023,224,199,2012-06-28,2013-07-06,Active
LO-28684250,217,327,2021-01-20,2022-02-16,Active
NZ-77602643,324,176,2012-01-08,2013-03-04,Active
XK-66635085,126,211,2019-04-14,2020-02-21,Active
IU-83826845,201,310,1996-04-12,1997-03-10,Active
XA-24233112,264,303,2019-08-03,2020-06-04,Active
AE-00492788,336,276,2022-04-15,2023-04-16,Active
PA-48722666,315,227,2009-12-01,2011-01-06,Active
PM-61219166,156,195,1996-12-17,1998-01-16,Active
TE-14089753,414,386,2024-03-12,2025-04-13,Active
DR-57617494,282,359,1996-07-12,1997-08-05,Active
GI-89494519,147,321,2019-05-27,2020-04-15,Active
MQ-06478744,238,385,2000-10-11,2001-12-04,Active
NI-34902557,406,174,1998-11-20,2000-01-12,Active
NI-05747263,397,143,2019-10-29,2020-09-15,Active
BP-97635874,274,193,2008-12-07,2009-11-25,Active
DX-88147659,196,317,1999-02-20,2000-02-21,Active
PV-22783257,223,133,1999-07-31,2000-08-27,Active
LK-27872223,227,194,2017-09-03,2018-08-15,Active
LB-32336965,460,358,2013-03-27,2014-02-11,Active
QT-15132954,181,256,1996-07-16,1997-06-01,Active
PL-51925359,205,152,1999-06-26,2000-04-29,Active
CR-89511319,408,270,2007-05-12,2008-05-15,Active
BG-95794153,320,335,2008-05-21,2009-07-03,Active
GM-40331336,188,105,2005-06-14,2006-05-25,Active
LV-36154661,477,220,2004-03-18,2005-03-08,Active
SQ-43344365,281,227,2017-01-13,2018-03-03,Active
NF-95135382,485,140,2000-08-28,2001-07-15,Active
BP-10601637,449,219,2020-05-07,2021-04-13,Active
DU-34052736,125,124,1995-09-25,1996-08-25,Active
AS-41912946,478,345,2010-10-17,2011-11-04,Active
IU-16507469,452,102,2007-12-10,2008-10-14,Active
OL-72602953,361,378,2015-04-22,2016-05-07,Active
OU-55720960,428,212,1998-12-02,1999-11-27,Active
CI-38544236,273,299,2017-02-07,2018-04-08,Active
VG-36533600,472,290,2015-06-01,2016-05-26,Active
HR-57236757,388,379,2003-04-20,2004-04-24,Active
UU-80668592,213,147,2006-04-12,2007-03-26,Active
VT-56361492,118,240,2015-07-04,2016-06-16,Active
LP-21863322,368,266,2023-08-01,2024-09-06,Active
UW-47712835,379,322,2010-05-11,2011-06-05,Active
RQ-24715418,236,233,2020-07-04,2021-06-12,Active
NT-69193058,192,296,1995-12-23,1997-01-18,Active
FT-48650641,180,400,2025-03-13,2026-04-17,Active
CB-05117773,431,273,1998-07-13,1999-08-18,Active
XL-16732514,445,206,2021-12-16,2022-10-31,Active
CN-30398930,211,106,2008-02-05,2008-12-08,Active
ES-67637470,368,176,2024-08-11,2025-06-26,Active
FM-11195467,468,207,2009-10-11,2010-10-03,Active
JI-33456543,439,188,2004-06-10,2005-07-02,Active
RN-89274583,144,212,2017-06-23,2018-05-17,Active
RR-54886874,120,153,2011-10-23,2012-10-15,Active
AH-23828081,220,298,2007-04-12,2008-06-10,Active
RP-63131675,134,106,2005-08-10,2006-08-20,Active
RB-93226634,105,146,2004-08-22,2005-10-09,Active
DG-08889530,411,384,2020-06-19,2021-08-01,Active
EY-47639494,295,253,2024-04-13,2025-05-26,Active
LM-57219523,314,103,2010-06-16,2011-04-23,Active
XP-04674574,482,355,2018-04-12,2019-02-20,Active
BL-41502529,267,297,1995-11-18,1996-12-17,Active
JT-41963993,241,206,2011-07-24,2012-06-29,Active
QV-70536004,393,389,2004-02-24,2005-01-24,Active
GN-25843309,285,134,2008-10-15,2009-10-26,Active
AU-02461672,425,364,2007-01-04,2008-01-07,Active
OQ-09299132,344,376,2010-04-22,2011-02-22,Active
TA-96693688,425,304,2017-07-19,2018-07-04,Active
HT-56416609,193,307,2024-02-27,2025-01-25,Active
SK-67546634,363,161,2017-03-19,2018-05-10,Active
UL-46130859,290,178,1995-11-16,1996-09-26,Active
LB-59617293,146,137,2020-04-27,2021-05-28,Active
KH-91554073,286,288,2018-05-18,2019-05-30,Active
PG-70553386,221,141,2023-03-10,2024-05-07,Active
EJ-11405523,426,177,2015-11-09,2016-10-28,Active
QV-32651937,160,279,2023-12-04,2024-11-09,Active
TB-80619067,480,338,2022-08-18,2023-07-17,Active
EH-64570627,452,304,2005-12-19,2007-02-04,Active
DT-86040731,439,104,2012-05-15,2013-06-25,Active
RR-47076343,400,237,2009-10-22,2010-10-21,Active
AW-38083540,227,362,2002-04-26,2003-03-04,Active
XE-97825748,481,221,1997-09-25,1998-09-03,Active
ZB-58514760,202,271,2020-07-28,2021-07-15,Active
AN-20011331,181,378,2015-01-10,2015-11-17,Active
DF-68640430,268,194,2023-12-12,2024-12-28,Active
CE-33298994,117,102,2023-11-19,2024-11-23,Active
LF-68757540,391,246,2006-03-29,2007-05-07,Active
HR-45283637,209,329,2022-02-20,2023-03-26,Active
YP-78399094,422,311,2016-12-17,2017-10-29,Active
AU-61811847,484,217,2021-01-22,2022-03-12,Active
XG-81235680,203,398,2020-02-28,2021-01-07,Active
KU-20294554,105,317,2019-02-12,2019-12-14,Active
SV-18484275,159,385,2009-05-23,2010-03-30,Active
PP-92100639,462,327,2020-08-30,2021-09-06,Active
MS-63577584,413,335,2023-04-21,2024-03-15,Active
RV-60824110,185,234,2004-08-02,2005-09-16,Active
